focus_value,raw_focus_value,x,y,z,quaternion,timestamp,metric
4799.907711189668,4809.286437024692,0.6592656311364884,0.08205238697127717,0.3425594603142025,"0.7059917555190005,0.7070389286415967,0.03877058550457642,0.012978298200278583",0.0,fswm
4757.834652288105,4715.761593386542,0.6592634196410868,0.08205068175287884,0.3425652432306314,"0.7059948615371936,0.7070357094890566,0.03877311791644209,0.01297714596599885",0.02457904815673828,fswm
4674.055820508497,4590.27698872889,0.6592639375918868,0.08206217140392774,0.3425405966356997,"0.7059948489248455,0.7070368141061087,0.038754353730467365,0.012973698670858038",0.07062625885009766,fswm
4745.318167965298,4816.580515422099,0.6593850236249789,0.0820932799155532,0.34264602824123325,"0.7059712667769833,0.7070538497140041,0.03885939070893528,0.013014293820200681",0.5868878364562988,fswm
4681.266516835984,4617.214865706668,0.6605123599543178,0.08243792525566465,0.34402374800932944,"0.7058024086841685,0.7071535372147917,0.0399150977344483,0.013550633678299437",0.8292288780212402,fswm
4769.183186162189,4857.099855488394,0.661441882234951,0.08255653268003191,0.34400691239108044,"0.7057939393471152,0.7071614144206215,0.03991229059569173,0.013588899694670907",0.9905662536621094,fswm
4716.006630685477,4662.830075208766,0.6620946334547291,0.08275103728800248,0.34400352657376626,"0.7057275451047181,0.70722712464653,0.03992369777704881,0.01358398323306979",1.1125166416168213,fswm
4664.154380329404,4612.302129973333,0.663335497720682,0.08290360091423847,0.3439878362279844,"0.7056903983697951,0.7072676971957097,0.03986914107833726,0.01356162755105894",1.3529295921325684,fswm
4705.501583557048,4746.848786784692,0.6651068970055707,0.08309211405744694,0.3440777111034893,"0.7056513766842392,0.7073067068901678,0.039858569406038054,0.013588650290902544",1.6896052360534668,fswm
4735.232971769636,4764.964359982222,0.665922189889624,0.0832233907467648,0.3442415445853745,"0.7056025388728858,0.7073490266756469,0.03995976188755177,0.013624574380235763",1.8493804931640625,fswm
4850.413554749015,4965.594137728394,0.6660470936308485,0.0832369864570472,0.3442893468283158,"0.705591719830542,0.7073572470437807,0.04000396945348484,0.01362836707702903",1.8724946975708008,fswm
4818.2972217670385,4786.180888785062,0.6662994682751686,0.08326356724414531,0.34422776922774934,"0.7055829950833966,0.7073700733145427,0.03993343134384273,0.013621214675223849",1.9194893836975098,fswm
4809.186153638828,4800.075085510617,0.6665393087888318,0.08328997157791838,0.3442660210725348,"0.7055923305778361,0.70735934839354,0.03995657949530061,0.013626702647364403",1.9672505855560303,fswm
4832.523841394167,4855.861529149506,0.6666560945853973,0.08330702932284977,0.3442872717642071,"0.7055876989522021,0.7073634356432302,0.039965113072176144,0.013629333786750799",1.9896080493927002,fswm
5118.888583244983,5405.2533250958,0.6722655807888366,0.08384975613687082,0.34494489705175,"0.7054688169311872,0.7074634744373237,0.04024891332894594,0.01375520449213525",3.079348564147949,fswm
5387.414310155269,5655.940037065556,0.6731315835974286,0.08388323309023935,0.34510020646181944,"0.7054682191725259,0.7074582235152794,0.04033723308140515,0.013797149904469798",3.247483968734741,fswm
5660.779091405968,5934.143872656668,0.6742534529145217,0.0840681716439724,0.3452595273554464,"0.7054018958813904,0.7075196381835724,0.04040768156108686,0.013832792284454672",3.470304012298584,fswm
5898.859714680515,6136.940337955061,0.6746284071894418,0.08406762816002232,0.3453346403619126,"0.7054084948560915,0.7075114537860846,0.04042860933896808,0.013853724888335814",3.547391414642334,fswm
6445.147844104703,6991.435973528891,0.6764401546466613,0.08427251726146032,0.3457271844961306,"0.7053388463991145,0.7075640626414265,0.04068563085003338,0.013960245737833941",3.8895938396453857,fswm
7024.8266965550665,7604.50554900543,0.6774820797178781,0.08440282189291887,0.3457329715269183,"0.7052916333501622,0.7076114317181987,0.04067809171265142,0.013966620299792861",4.086961507797241,fswm
7573.644738321916,8122.462780088765,0.6788798667836901,0.08456895101542444,0.34588140997807926,"0.7052247882005561,0.7076729858249046,0.040747069676319594,0.01402210946821125",4.353733539581299,fswm
8121.702343813735,8669.759949305555,0.6799348184781056,0.08473730866863735,0.3460142603498639,"0.7051741726720929,0.7077201605058147,0.04080121336105345,0.014029312104271005",4.554497718811035,fswm
8677.591973497918,9233.481603182101,0.6813723929155239,0.08488106840996316,0.3461000143291047,"0.7051221980069535,0.7077723651457897,0.04079713618503474,0.014019939118177121",4.843191862106323,fswm
8836.529778010627,8995.467582523335,0.682393614346787,0.08500814439828788,0.34615994600864264,"0.7050624129816133,0.7078344164899266,0.04075368036135038,0.014020348423434673",5.0475311279296875,fswm
8864.445464892658,8892.361151774692,0.6836464982519558,0.08514946638159565,0.3463811235459748,"0.705017738679953,0.7078711953216421,0.040861229289207615,0.014096769895625508",5.290221929550171,fswm
8746.601778065527,8628.758091238395,0.6837865980874132,0.08514533196037985,0.34639116959561866,"0.7050278923477415,0.7078602539785638,0.0408739102383035,0.01410160667922658",5.315595626831055,fswm
8750.784935466778,8754.968092868026,0.6840171754121522,0.08514747141329154,0.346416084198374,"0.7050362078257378,0.7078508653951092,0.04088905605076453,0.014113224627122795",5.358066558837891,fswm
8707.861031102279,8664.93712673778,0.6842885285906356,0.08518419536598786,0.34645408544899803,"0.7050238072965431,0.7078621016703778,0.040905819414823075,0.014120556004790232",5.409944295883179,fswm
8658.769277604471,8609.677524106666,0.6844212197809976,0.08521558295329068,0.34646213984015994,"0.705014768457125,0.7078703279061573,0.040923430576542436,0.014108435675950222",5.4357216358184814,fswm
8696.16656101236,8733.563844420249,0.6847101274230134,0.08524122023588131,0.34650783563251153,"0.705001098406053,0.7078825514508804,0.04093420995473724,0.014146909663667783",5.488731145858765,fswm
7251.460729245933,5806.754897479506,0.6904042243000972,0.08579374765694942,0.34718239250054345,"0.7048304684427774,0.708032999620836,0.04120795155798056,0.014324347491298826",6.587485074996948,fswm
6414.633701318275,5577.806673390615,0.6913032699673142,0.08583009317798507,0.34718391844538554,"0.7048282496774426,0.7080367603986165,0.041177523302776874,0.01433513011848125",6.755044937133789,fswm
6016.910156702594,5619.186612086914,0.6915583218057352,0.08586971966749207,0.34716651784702535,"0.7048180186142532,0.7080483659689099,0.0411552872630277,0.014328796730103548",6.803721904754639,fswm
5777.197651481605,5537.4851462606175,0.6916896649106022,0.08588426385493732,0.3471579635371879,"0.7048191925598608,0.708048098830603,0.041143639043308505,0.014317699113629364",6.828970432281494,fswm
5449.2721027377775,5121.346553993951,0.6954832504778904,0.08636295858521892,0.34781105145475644,"0.7046493316268663,0.7081927294785493,0.04149125243867399,0.014520789324388222",7.554429769515991,fswm
5235.8718740293825,5022.471645320988,0.6967187733744196,0.08652676562372148,0.34801343434087034,"0.7045904725435889,0.7082434143972262,0.04161374184968531,0.014554327639191587",0.0,fswm
5108.4968147724685,4981.1217555155545,0.6977176785525377,0.0866050823252771,0.34808958590618694,"0.7045505866962954,0.7082854310461584,0.04157491478959828,0.014551474629784388",0.20795631408691406,fswm
5049.639270656358,4990.781726540247,0.6989486576944429,0.0867866280304865,0.3480791278965768,"0.7044899013015797,0.7083499240227144,0.04151761902508777,0.01451383517864719",0.449948787689209,fswm
4999.7573262165115,4949.875381776665,0.7001293182915279,0.08694865254592718,0.34818420989266236,"0.7044438480992853,0.7083921588453124,0.041569465606396724,0.014539384125446518",0.671844482421875,fswm
4981.791160066034,4963.824993915556,0.7010159921214262,0.08687529669043476,0.3482860726236229,"0.7044430513576495,0.7083922691092491,0.0415704329652284,0.014569816857346738",0.920783281326294,fswm
4961.69209197351,4941.593023880987,0.7009931942271199,0.08695414037135712,0.3482444846774997,"0.7043955870581728,0.7084426386057959,0.04152569736489071,0.014543080711780449",1.0823779106140137,fswm
4914.475965542064,4867.259839110617,0.7010133929325499,0.08693504064072433,0.34822795565672726,"0.7044178116902369,0.7084204139103331,0.04152811937863755,0.014542318574567583",1.280761957168579,fswm
4827.876883743811,4741.277801945557,0.7010188569557482,0.08693750901936118,0.34823897923527336,"0.7044273269306346,0.7084105858654365,0.04153523682914234,0.014539842113902681",1.4083778858184814,fswm
4886.174965854067,4944.473047964323,0.701011019959533,0.08696039614580839,0.348247071166715,"0.7044140077249044,0.7084230624849818,0.0415448848780702,0.014549666690553787",1.4820749759674072,fswm
4831.338190916602,4776.501415979136,0.7010172610672121,0.08695368640682213,0.3482427024838941,"0.7044180153623109,0.7084189203717332,0.041549378578904714,0.014544484593069352",1.5274906158447266,fswm
4791.815199516572,4752.2922081165425,0.7010183170611598,0.08694363972758831,0.3481905341911478,"0.7044332225884028,0.7084068137891841,0.04150591573998163,0.014521709588046357",1.577730655670166,fswm
4860.886201882729,4929.957204248888,0.7010158789794437,0.08694265239862513,0.34820216939236337,"0.704434997929139,0.708404869902328,0.0415073484600772,0.014526321456364132",0.0,fswm
4915.644114919081,4970.4020279554325,0.7010106283944765,0.0869475230046825,0.3482513351849865,"0.7044290492138503,0.708408678320844,0.04153672143268675,0.014545098006181914",0.046386003494262695,fswm
4959.503902691887,5003.363690464692,0.7010106551143037,0.08695500038270895,0.34825819883911036,"0.7044205008910952,0.708416130244512,0.04155452989634525,0.01454528716879893",0.07080245018005371,fswm
4908.322207612364,4857.14051253284,0.7010156836796456,0.08693111165764686,0.3482497947850427,"0.7044385374202482,0.7083988958537788,0.04153464542709199,0.014567929832840353",1.1614508628845215,fswm
4839.366256339268,4770.410305066173,0.7010106764336996,0.08694059571623103,0.3482256787323852,"0.704428076928988,0.7084106801642964,0.04151667061025839,0.014551931992901706",1.407930850982666,fswm
4882.234477858276,4925.102699377284,0.7010141944884668,0.08692947034140608,0.3482610927403865,"0.7044281286498831,0.7084090028482312,0.0415421393438906,0.014558396516489526",1.6968185901641846,fswm
4890.769695562224,4899.304913266173,0.7010067109861011,0.08698420131058185,0.3482733295213438,"0.7043877852707066,0.7084470625008036,0.04157862140955901,0.014554237770910118",1.9366135597229004,fswm
4862.982603954939,4835.195512347653,0.7008649167824152,0.0869067747938411,0.34822172535182055,"0.7044104965370481,0.7084263332155892,0.04155076682030734,0.014543608623326331",2.1216320991516113,fswm
4932.314546501914,5001.64648904889,0.6977589492868869,0.08667320484816027,0.3479315934614323,"0.7044646722467802,0.7083824419529798,0.04141528367562057,0.014443537206566926",2.24638032913208,fswm
4945.888034421266,4959.461522340617,0.6939363457393483,0.08611434161587936,0.34739295235651435,"0.704646891880138,0.7082173618904132,0.04117906028341139,0.014325190219319776",2.3220465183258057,fswm
4968.868422810078,4991.848811198891,0.6916872553628627,0.0858214610510965,0.34703902217788285,"0.7047509713337251,0.708127336430973,0.04098359272914259,0.014215798618383423",2.3557891845703125,fswm
5077.3025574077565,5185.736692005434,0.6869742476172558,0.08529700942017207,0.34643813344560115,"0.7049446718600639,0.7079531415482384,0.040712728577263484,0.014065301983281712",2.415980815887451,fswm
5057.418267036656,5037.533976665556,0.6850702798430031,0.08509029619980449,0.3462352405604411,"0.7050186225506558,0.7078844549702349,0.040639899597405035,0.014026361929679992",2.4380621910095215,fswm
4966.916923728451,4876.415580420246,0.6592611297974359,0.08199381999481911,0.3424976474787896,"0.7060364551420004,0.7069975045260097,0.03871078745541299,0.012981815708706886",3.3962011337280273,fswm
4844.106693649349,4721.2964635702465,0.6592788044856658,0.0820062436164754,0.34250483573525947,"0.7060486213165126,0.7069845187754791,0.038727576787415514,0.012977262617014576",3.7200441360473633,fswm
4831.250769409798,4818.394845170246,0.6592619951294858,0.08202296224848035,0.3425583990641702,"0.7060219377976805,0.707010122067315,0.03874404512034642,0.012984976337339575",3.960763454437256,fswm
4802.979016791565,4774.707264173333,0.6594130656178034,0.08206145329701146,0.34261780907574413,"0.7060105132586021,0.7070169856501032,0.03881667304794804,0.013015493231376555",4.201259613037109,fswm
