focus_value,raw_focus_value,x,y,z,quaternion,timestamp,metric
1482357.5940591097,1142571.720912616,0.670998571032819,0.07052838384778927,0.4163690939726524,"0.7078954229252313,0.7059338998308325,0.02254787659563607,0.0057439126184196795",0.0,fft
1310223.2138749645,1138088.833690819,0.6709902070897238,0.07055152867739221,0.41640925714119237,"0.7078983937841108,0.7059297881189521,0.022582356374758562,0.005747652109418173",0.23838257789611816,fft
1226290.7389695705,1142358.2640641762,0.6709905734324783,0.07054388497211153,0.41638021974867634,"0.7079038352927949,0.7059249751775788,0.022565126067217223,0.005736243008877472",0.5658056735992432,fft
1188673.1157986813,1151055.492627792,0.6712509391462841,0.07060526290830513,0.41661349153975,"0.707895923187276,0.7059251549298986,0.022778035770698167,0.00584796190665925",0.8398585319519043,fft
2737049.865936466,4285426.616074251,0.6726132263591941,0.0709312934365846,0.41726662832977923,"0.7077471781496555,0.7060539980543034,0.02332487835603207,0.006134631399692901",1.1200041770935059,fft
3580067.694426789,4423085.522917112,0.673745412919079,0.07117739814182424,0.4172387041961285,"0.7076364617481984,0.7061646065162827,0.02333864342042517,0.006123253341854159",1.3383870124816895,fft
4074485.742212339,4568903.789997889,0.6750290817652744,0.07134194822489533,0.4173902113202582,"0.707604725477549,0.706192960772771,0.023428301131346266,0.006178134259549671",1.601517915725708,fft
4684237.030448385,5293988.318684431,0.6764788265174062,0.0715322003856084,0.41748482912063156,"0.7075602596837816,0.7062340244817067,0.02351631409279397,0.006242159248278616",1.8796055316925049,fft
5258359.562222069,5832482.093995753,0.6778019708434793,0.0717022506480577,0.41757183210542925,"0.7075262786149903,0.7062648688387926,0.02359904469023214,0.006291677284691611",2.124699354171753,fft
5858876.828289188,6459394.094356307,0.6794801145902143,0.07193043082239442,0.4177035153918903,"0.7074496802714292,0.7063383650706193,0.02368920876031894,0.006315481100215492",2.436697006225586,fft
6574097.5735383015,7289318.3187874155,0.6808179471833307,0.07206806953559639,0.4178789989536358,"0.7073994617708151,0.7063840324676927,0.02380965006055764,0.006379711986970051",2.694822072982788,fft
6974216.211274817,7374334.849011332,0.6823480799853513,0.07218931546553001,0.41790447246123696,"0.7073509548879301,0.7064346454453656,0.023750558584397098,0.006374111745416304",2.9951870441436768,fft
6907180.655373342,6840145.099471868,0.6834197135505776,0.07236577781471226,0.41790576790729383,"0.7072971382530049,0.7064881346864071,0.023756596843125404,0.006395144475595977",3.201890230178833,fft
6728393.294670825,6549605.933968307,0.6846531015064095,0.07245483007256434,0.4179384185547901,"0.7072831959907754,0.7065011568515226,0.023783632974137443,0.006398034001642635",3.4418914318084717,fft
7470518.923231708,8212644.551792592,0.6859050780490931,0.07259117269209812,0.4181616171262692,"0.7072314274820236,0.7065455420124025,0.023978545788505556,0.006491100523638358",3.68044376373291,fft
8899676.90889835,10328834.894564992,0.6875032517582429,0.0726419591948498,0.41844972187299634,"0.7072409112677114,0.7065294567561684,0.024131580483424397,0.0066398033421685414",3.996669054031372,fft
10444193.590127787,11988710.271357223,0.6890289346166755,0.07283346073567303,0.4186141729616295,"0.7071466536639432,0.7066195582584847,0.02424512340184604,0.006677131846859245",4.294489622116089,fft
9414807.43881324,8385421.28749869,0.6904764043563356,0.07296911444768608,0.4184726803239801,"0.7071075214802136,0.7066639434022564,0.0241124779921814,0.006603981099179109",4.572699546813965,fft
