focus_value,raw_focus_value,x,y,z,quaternion,timestamp,metric
1677289.1815529044,1679063.8950129377,0.6999975628080627,0.0851731374012594,0.34349822732100366,"0.7053435234906859,0.7077463729504744,0.037817466873355514,0.012466942065922307",0.0,fft
1683464.2611469473,1689639.34074099,0.7000092465394193,0.08514548877849076,0.34349910805135825,"0.7053696914333872,0.7077205198730434,0.03781034488046463,0.012475655406335433",0.04784440994262695,fft
1687087.7028946546,1690711.1446423621,0.7000052174421092,0.08514088192545793,0.3434988295062297,"0.7053771483428245,0.7077129307787066,0.03781313868132149,0.012476087023824477",0.09262704849243164,fft
1413174.1716820523,1139260.6404694503,0.6584801776809068,0.08030679265751402,0.3378638261526866,"0.7067862388168398,0.7064986359982316,0.034620144759759636,0.01069277927373107",1.259260892868042,fft
1655557.8920108324,1897941.6123396126,0.6650632333505078,0.08163458516567598,0.33944122514831265,"0.70636325041526,0.7068516425901016,0.03581573561644902,0.011355479413767012",3.9649181365966797,fft
1903804.5543111148,2152051.2166113975,0.6662936813951561,0.08165178396576792,0.3395804171545618,"0.7063748698057013,0.7068364442024896,0.03587074721748057,0.011404996633890389",4.207010746002197,fft
2129168.332477431,2354532.110643747,0.6672737190921381,0.08180067433489245,0.3396747251245226,"0.7063075201634063,0.7069020659550411,0.035896221996838985,0.011428795013815303",4.399882793426514,fft
2368884.9633415192,2608601.5942056077,0.6683945853483789,0.08178453624941477,0.33982229232300815,"0.7063515269110155,0.7068526679207379,0.035983791338409274,0.011488822599631535",4.607140064239502,fft
2718464.9801873225,3068044.9970331257,0.6698789156615444,0.08184008382321334,0.33995351851382805,"0.7063704961049636,0.7068279380060615,0.036077750086614846,0.011549209289588141",4.885601997375488,fft
3164213.800346017,3609962.6205047118,0.671301623003068,0.08199738279641222,0.3402518103339246,"0.7063132220074162,0.7068729929765621,0.036279291020762154,0.011662643820779044",5.161776542663574,fft
3711801.8579767174,4259389.915607418,0.6727370223373837,0.08216863689844756,0.34043959854501393,"0.7062400947614528,0.7069420297018156,0.036348791014866405,0.011690191793507181",5.447978496551514,fft
4525257.714231071,5338713.570485425,0.6745154661646608,0.08236563519513941,0.34059698337432953,"0.7061846149600677,0.706995947163295,0.036376740108122994,0.011694146718870847",5.808382034301758,fft
5281158.992617409,6037060.271003746,0.6755461163719472,0.08246250289120181,0.3405880911879142,"0.7061419867591247,0.7070396466099657,0.03635452030689116,0.011695362789884525",6.008335113525391,fft
6367602.9103834005,7454046.828149392,0.6770839722507132,0.08268656526811607,0.3408658410638462,"0.7060384879515572,0.7071321721716023,0.03654301897937389,0.01176232863099442",6.3049399852752686,fft
7753555.014071126,9139507.11775885,0.6785365095382463,0.08284459723364578,0.34101472633540175,"0.7060043979792868,0.7071612755556835,0.03662230976239104,0.011812146969580118",6.582547187805176,fft
10202142.210764628,12650729.407458132,0.6801264956720828,0.08300031383563025,0.3413056153081842,"0.7059477015588066,0.7072072994397197,0.036797071801511476,0.011901839767501145",6.8921284675598145,fft
12488045.6897754,14773949.16878617,0.6809537949574208,0.08309068515761066,0.34133433066791996,"0.7059122477754588,0.7072413395107578,0.03682449685682375,0.011897166001625206",7.046413898468018,fft
14846407.659901116,17204769.630026832,0.6812292428662811,0.08310785241784709,0.34138529971394216,"0.7059134058860883,0.7072386793499934,0.03684434149025839,0.011925113069867098",7.101130485534668,fft
16487524.295633331,18128640.931365546,0.6813682949785896,0.08310117451631402,0.3414061469725962,"0.705921637170017,0.7072303945538341,0.036841656119904635,0.01193748586486605",7.130028486251831,fft
17602467.041909322,18717409.788185313,0.6816382427820002,0.08312380405722776,0.3414616604686407,"0.7059154048319956,0.7072360033964965,0.036854969253314544,0.011932642706792068",7.188562393188477,fft
13269698.081152555,8936929.120395789,0.6877762306569075,0.08390571914172164,0.34216854767192356,"0.7056136206557109,0.707515412494355,0.0372077148391571,0.012122103139687321",8.385576248168945,fft
10164163.38344841,7058628.685744267,0.6893063618018275,0.08405337626328255,0.3423807363801419,"0.7055757473822585,0.7075455116296157,0.03732916291079797,0.012196199208450017",8.673998594284058,fft
7859743.073729506,5555322.764010601,0.6908063906694968,0.08418853661549137,0.3423261919205577,"0.7055319923067231,0.7075945664862888,0.037244792829766275,0.01213930466931881",8.968498229980469,fft
6377413.289697222,4895083.505664939,0.6915894958950064,0.08433422453797099,0.3423795228282245,"0.7054937508387337,0.7076317395521495,0.03725774217445649,0.012155219206384122",9.125994682312012,fft
5301719.519905695,4226025.750114167,0.6928077084912114,0.08445730515266117,0.34242269783302337,"0.7054354161782806,0.7076918694335104,0.03722711005999644,0.012133994217088231",9.363776206970215,fft
4417861.5216324385,3534003.5233591823,0.6940756450744461,0.08460186873080695,0.34263946977329435,"0.7053759767881179,0.7077434423524485,0.03734028801922176,0.012233317945531928",9.603739261627197,fft
3682670.032029885,2947478.5424273307,0.6955043642752152,0.08476623795530787,0.34296968783608595,"0.7053294990177527,0.7077781900839534,0.037519252755688494,0.01235463999896943",0.0,fft
3105225.144069891,2527780.256109897,0.6967493345698849,0.08497835758346341,0.34313673445461756,"0.705242470720416,0.7078574259822686,0.03765737191274345,0.012363022063618188",0.23630714416503906,fft
