focus_value,raw_focus_value,x,y,z,quaternion,timestamp,metric
2685.845548042169,1954.8344293209877,0.6592697414141905,0.08200168514951575,0.34248556212110826,"0.706035474522234,0.7070000132689815,0.038688756587086884,0.012964184030201015",0.0,fswm
2363.974653153862,2042.1037582655551,0.6592609627892,0.0819994177824909,0.34248241281349634,"0.7060270085355225,0.7070091981339981,0.038673241993479913,0.01297063321568034",0.24641060829162598,fswm
2170.238811208042,1976.5029692622218,0.6592606084820677,0.08202699371034769,0.34249819749308275,"0.7060174918907162,0.7070170938399959,0.038704482426645974,0.012965076261807977",0.600501298904419,fswm
2075.757674110132,1981.2765370122224,0.659355127787029,0.08203302314238431,0.34258223350851463,"0.7060223930073398,0.707006843711078,0.038792203900941,0.01299493879925747",0.760063886642456,fswm
1996.9996517557452,1918.241629401358,0.6602191081638358,0.08229058170198554,0.3435298277019004,"0.7059000493415715,0.707082715521012,0.03950250228137945,0.013368098761904918",0.9605705738067627,fswm
2033.722648394848,2070.4456450339508,0.6614890074645223,0.08254460822778845,0.34368965906905213,"0.7058155516198339,0.7071579716425695,0.039635272013971184,0.013455684536097074",1.2022364139556885,fswm
2092.491059697424,2151.2594710000003,0.6623018403307487,0.0827692397502214,0.3437113778234788,"0.7057338363014728,0.7072378182004365,0.03966487345079157,0.013458031818401781",1.363654375076294,fswm
2098.6259071731565,2104.7607546488885,0.6630368617319851,0.08287106871167234,0.34372642097343553,"0.705719823105008,0.7072509587144268,0.03968129467334406,0.013453903790631952",1.513460636138916,fswm
2289.7673590443555,2480.908810915555,0.6644006513003848,0.0830150708490425,0.3438323972260166,"0.7056972161567271,0.7072728691161858,0.03967772567665438,0.013498363083444525",1.8002874851226807,fswm
2413.192891455449,2536.6184238665433,0.6657140818609162,0.08324954222850614,0.343969899003298,"0.7055962005981461,0.707372227516562,0.03970737009417016,0.013485481078646888",2.0805273056030273,fswm
2560.5257364580334,2707.8585814606176,0.6667029847469457,0.08330219389264466,0.34412322187607525,"0.7055994734593084,0.7073625968053256,0.03980474096253502,0.013532268534081036",2.2804150581359863,fswm
2850.610056169511,3140.6943758809884,0.6678912470730036,0.08339734748467646,0.3444622550359626,"0.7055896767089302,0.7073568442805995,0.04004411196237076,0.013637157633619175",2.5208237171173096,fswm
3081.9326812541385,3313.2553063387654,0.6686788106453831,0.0835101701517788,0.34449093820277293,"0.7055331061871005,0.707413476055589,0.040037672825741936,0.013645318744138723",2.6827194690704346,fswm
3232.9495719848474,3383.9664627155557,0.6688599178318174,0.08354101475024697,0.34450091484413425,"0.7055300019604518,0.7074178224545566,0.0400115710242529,0.013657049150873431",2.7227861881256104,fswm
3355.9008527181027,3478.852133451358,0.6690619401811487,0.0835429165516961,0.34453700017331235,"0.7055437587798503,0.7074027754956184,0.04002949915935005,0.013673217066504957",2.7634105682373047,fswm
3403.9405240118285,3451.980195305555,0.6692819135242783,0.0835385928401617,0.344591068922102,"0.7055579588570804,0.7073859954504996,0.04006973712278169,0.013690737775853709",2.804638624191284,fswm
4826.6656527065925,6249.390781401356,0.674092114260486,0.0839608113039463,0.34512355467099265,"0.7054706753291169,0.7074591041737709,0.04027206702467292,0.01381675757496782",3.801205635070801,fswm
5749.376685739964,6672.087718773335,0.6749037618530217,0.08401288020226634,0.34538665977486793,"0.7054466386165071,0.7074734797644184,0.04041703506234374,0.013884479517269004",3.9786376953125,fswm
