focus_value,raw_focus_value,x,y,z,quaternion,timestamp,metric
4140.509921902795,3985.545146398888,0.6953265493018521,0.07176039723971779,0.37407250526523966,"0.7052204066483992,0.7087259823663808,0.017436509812012186,0.008223630040970525",0.0,fswm
3768.7183027961437,3640.790015598889,0.6964226757019355,0.07185807626951188,0.3739056149257636,"0.7052133737970137,0.7087372365659452,0.017291954411947325,0.008161815687473466",0.19880914688110352,fswm
3297.536193074218,3135.4090305535815,0.6975981556749562,0.0719192622250488,0.3739458408419176,"0.7052289925042803,0.7087218895203398,0.017305765350106528,0.008115536443393644",0.3943793773651123,fswm
2778.2671591672224,2599.59395975,0.6990104193058461,0.07193688353681306,0.3739779208763103,"0.7052280741957007,0.7087235960102528,0.017275969045133285,0.00810979149368866",0.5858156681060791,fswm
2913.7528369368606,2960.37156045321,0.6989897906278892,0.07192622628544687,0.3740077160250214,"0.7052273490147488,0.7087233097067327,0.017314854441373977,0.008114942737830661",0.7943282127380371,fswm
2991.162783690551,3017.798461826667,0.699006118762141,0.0719505949520643,0.3739584750894815,"0.7052237324596377,0.7087278000264827,0.017287626919552875,0.008095097331704335",0.988337516784668,fswm
3024.0766857905496,3035.4018983672836,0.6989854697777839,0.07195607177850485,0.37397375988199644,"0.7052073531345582,0.7087439272823148,0.01728508918387743,0.008115436975103607",1.2317938804626465,fswm
3362.00548597697,3478.2820516143215,0.6941287500905348,0.07150267742731692,0.37359678297792387,"0.7053198299438171,0.7086391842855312,0.017053231890597608,0.007976920787328211",1.4377827644348145,fswm
7797.744984519939,9324.020799626544,0.6832912398767935,0.0704147589201122,0.3724637203314485,"0.7056441180463404,0.7083404994796914,0.016223371709144792,0.007544380282753401",1.6347427368164062,fswm
11931.984324506593,13354.518159182095,0.6807658442228984,0.07007172084000325,0.37217354152471427,"0.7057354848952132,0.7082554312454914,0.01599547331339028,0.007470897165790955",1.8903203010559082,fswm
13050.298050071227,13435.094135051359,0.6807561569210798,0.07018460417164103,0.3721368595112364,"0.7056880311872031,0.7083031850180954,0.015985511178883114,0.007447426716686174",2.1012415885925293,fswm
13297.940826127795,13383.151235802474,0.6807786488758877,0.07016453164181385,0.3721810057532856,"0.7057029922339899,0.7082869697252376,0.016033470169727712,0.007468808723608266",2.2959587574005127,fswm
13373.35107857001,13399.298689910001,0.6807616570300816,0.07017883333161987,0.37220050200416915,"0.7056967409884318,0.7082931245839005,0.01604278100239737,0.007455776498165443",2.487239122390747,fswm
13378.72556399069,13380.57484912543,0.6807670212068448,0.07015008969038329,0.37220343230462066,"0.7057181735446999,0.7082716084759015,0.01604708688005331,0.00746184684619304",2.67560076713562,fswm
13379.027847565154,13379.131859108023,0.6807660287534281,0.07018171047105719,0.37218624161806996,"0.7056932745531717,0.70829669000776,0.016027307295448403,0.007478408609478424",2.9751453399658203,fswm
13380.692483196846,13381.265260995553,0.6807748873773574,0.07015090666966525,0.37221650296459174,"0.7057236501116734,0.7082654096285533,0.01606784125292751,0.007487567977966449",3.1940228939056396,fswm
13366.87044114238,13362.114470123332,0.6807661985616289,0.07017393849107575,0.37225828109631576,"0.7056933811278656,0.708295275998568,0.0160848867868532,0.007478652785601758",3.40985107421875,fswm
13378.77578205628,13382.872243066548,0.6807705894440408,0.0701786741981795,0.37217079599160474,"0.7056938486034389,0.7082968044760161,0.016008376980505237,0.00745390359349998",3.6193745136260986,fswm
13371.262528290546,13368.677322933208,0.6807617963111663,0.07017830197960914,0.37217910968826,"0.7056897182551823,0.7083007360350524,0.01600833472316028,0.007471418909120234",3.7514970302581787,fswm
13398.562469310473,13407.955996533212,0.6807635740373916,0.07015589002653776,0.37218017266750014,"0.7057107456065247,0.7082798023034284,0.016025264803036746,0.007433442842449267",4.047743082046509,fswm
13422.362137950766,13430.55127048778,0.6807532680470486,0.0701777722700211,0.37220049985735243,"0.7056886399297985,0.708301466496338,0.016025976448999942,0.007466197963121464",4.255869626998901,fswm
13380.450148782787,13366.028820512469,0.6807714804207791,0.07017622294317677,0.3721849212964205,"0.7056974864775959,0.7082929391732168,0.016012306208385483,0.0074683295627738025",4.416099548339844,fswm
13382.036795550637,13382.582738473951,0.6807761715346301,0.07015089793107782,0.37220743847762494,"0.7057129160444279,0.7082769512158351,0.016038236801475206,0.00747097482071289",4.6375346183776855,fswm
13401.239613326361,13407.847033884445,0.6807601123086457,0.0701549996937422,0.37218801058484013,"0.7057018893893637,0.7082887377707291,0.016004450329509885,0.007467585224153392",4.938809394836426,fswm
13403.571070447011,13404.373292177655,0.6807660619754711,0.07016656719630723,0.37224435350957646,"0.7056957631947298,0.7082929331101242,0.016081023413911443,0.007484076511244692",5.12824821472168,fswm
13402.45160497448,13402.066412589505,0.6807615567611087,0.07016176828612278,0.3722499428394562,"0.7057075621377764,0.7082810360577286,0.016088147088518273,0.00748212709095055",5.378435850143433,fswm
13436.073499238673,13447.642321999876,0.6807649115406371,0.0701692867576729,0.3722220000633859,"0.7056842732510372,0.7083051040269853,0.01605155419766744,0.007478883828232083",5.597199440002441,fswm
13409.187929569705,13399.936981723335,0.6807593384194021,0.07017888902133773,0.3722335035395148,"0.7056932984253141,0.7082960553436256,0.01605838156328547,0.007469599977793966",5.806687593460083,fswm
13392.573675585232,13386.856943560984,0.6807688438863021,0.07019300079027257,0.37219262255863916,"0.7056971818521062,0.7082931446276605,0.016020465182849185,0.007460126994926756",6.016005516052246,fswm
13406.088668085127,13410.738987654324,0.6807712304232629,0.0701610456731894,0.37223975959494926,"0.7056917260514614,0.7082972315062939,0.01606728063631264,0.00748746392196721",6.287277936935425,fswm
13386.038764215042,13379.139873199874,0.6807643030146296,0.07018060001852575,0.37221330181480206,"0.7056959711984164,0.7082935207687613,0.016054200659135355,0.007466412291885246",6.408266544342041,fswm
13401.134458048135,13406.328674799877,0.680763453675409,0.07017630453493484,0.37219704724708863,"0.705688771581249,0.7083015802466581,0.0160160277351356,0.0074643110748511396",6.566572189331055,fswm
13428.20356946599,13437.517671456666,0.6807590385576914,0.0701622920131704,0.37223791612875634,"0.7056960709624559,0.7082928770810032,0.016074112554412406,0.007475199666595207",6.766463994979858,fswm
13421.673580485096,13419.426702764318,0.6807585389979689,0.070178739601549,0.3722278069770295,"0.705685244015557,0.708304337867666,0.01605008910380462,0.007462973690897141",6.9204323291778564,fswm
13417.942116093423,13416.658171475437,0.6807618153212764,0.07018970741121919,0.3722103485959748,"0.7056989933348948,0.7082906367485741,0.016047506388840296,0.007468750840381066",7.176163911819458,fswm
13410.35958972744,13407.750548638889,0.6807709529428179,0.07017740815196116,0.37218235473424494,"0.7056883658429318,0.7083018210130264,0.016022311682771753,0.0074663372481616995",7.448056936264038,fswm
13388.191180871861,13380.563341972222,0.6807633206920528,0.07018815959005414,0.3722016489462908,"0.705692231242939,0.7082976815140184,0.01604345444011582,0.007448267909814687",7.688006639480591,fswm
13430.192778298786,13444.64493951556,0.6807656329171774,0.07016899794042024,0.3721739523572113,"0.705703363729933,0.7082871660621539,0.016020701774906443,0.007442440899340923",7.930219411849976,fswm
13409.350262207718,13402.178644432097,0.6807650112852685,0.07019078877403018,0.3721613638848411,"0.7056883836014219,0.708302519249115,0.01599835022169119,0.007449782919888111",8.174609661102295,fswm
13375.525414532158,13363.886758345556,0.6807694841008431,0.0701555430130428,0.3722169416345247,"0.7057075691177399,0.7082819984640086,0.016053098701741597,0.007465625481686656",8.393126964569092,fswm
13398.29245924429,13406.126280355063,0.6807616870450065,0.07016279833860783,0.37220389698998935,"0.7056960498785136,0.7082937950141868,0.016042305522383834,0.007458522895979691",8.59696650505066,fswm
13409.700125600284,13413.625343767779,0.6807626085086309,0.07014924056385527,0.3722125261539353,"0.7057174115205807,0.7082725274138065,0.016034369172970932,0.007474021191768578",8.71863842010498,fswm
13417.947662203784,13420.785523998027,0.6807733336195714,0.07017891797067026,0.3721824419766303,"0.7056970049503624,0.7082929355126888,0.016035578921193155,0.007464242464493309",8.957765102386475,fswm
13409.972907709056,13407.228906416665,0.6807601108422375,0.0701764372859543,0.37219512589012615,"0.7057049476039459,0.7082854079420537,0.016022196837269197,0.007456341742333487",9.168038129806519,fswm
13403.048379093605,13400.66574581222,0.6807702013822136,0.07015931591954377,0.3721968856341177,"0.7057120604558997,0.7082783208797678,0.016023429743817576,0.007453696939786445",9.35401201248169,fswm
