focus_value,position,quaternion
15661.738686806828,"0.6202010554762885,-0.09394698702271967,0.22654127460344958","0.7156400722154438,-0.6981734834359821,-0.02021618689145364,-0.002092810051249821"
15672.174744133463,"0.6201974160151471,-0.0938965557051273,0.22651511327478438","0.7156914624180556,-0.6981217831656565,-0.02018684998725409,-0.0020487994292182152"
15652.10469207477,"0.6214519435600199,-0.09383879944577385,0.22758168709962956","0.7156832038949652,-0.6981487588039728,-0.019432683013552162,-0.002869333372896558"
15628.606093371818,"0.6223559883458682,-0.09377759694559246,0.2275975674594692","0.7157093342697585,-0.6981231103728343,-0.019375247867345645,-0.002978484946656944"
13954.741373897454,"0.6232961173373746,-0.09369316702090469,0.22749886275470638","0.7157035347592865,-0.6981292919997364,-0.019366822568825843,-0.0029779470440989267"
12239.841439469965,"0.6241771453464766,-0.09365910468254766,0.22747191151964039","0.7157004887168041,-0.6981319087689144,-0.019382481247519866,-0.0029946335150187043"
10925.578052567973,"0.624818255980503,-0.09366002995156406,0.22749384015068513","0.715691334384891,-0.6981434463733769,-0.01929134494249953,-0.0030799647055705878"
9551.308588102378,"0.6256652981652139,-0.09362227698705897,0.22748574712100483","0.7156716719740915,-0.698164132581698,-0.019270521235672525,-0.0030901329354999937"
8154.515446609903,"0.6264755656710018,-0.09353587478929855,0.22757403096561746","0.7156967656775707,-0.6981397956422802,-0.01920938334423266,-0.003156727855561381"
6810.198435879923,"0.6272575313637182,-0.09348259108113449,0.22749068174036377","0.7157137384426658,-0.6981211491759352,-0.019265008803992754,-0.003092751764548889"
5651.549705631939,"0.6278286395044324,-0.09345302046442872,0.2273933927827509","0.7157326092752168,-0.6981008426564393,-0.01930453741668433,-0.003062733678775014"
4686.284547993551,"0.6287208151264227,-0.09340077695921163,0.2274755447552787","0.7157134207063915,-0.6981225399354359,-0.019219766527765112,-0.003133564977736793"
3887.3208218828413,"0.6295645877817723,-0.09337467833994299,0.22764953434555335","0.7157020878780378,-0.6981372754802128,-0.019077197758205964,-0.0033055283658357908"
3241.103172194273,"0.6301476314641574,-0.09334478183623639,0.22763037809377062","0.7156888590420244,-0.6981509144258823,-0.019071752628792765,-0.0033205392778604677"
2727.1479394834187,"0.6310589550562158,-0.09325713421197217,0.227719350266385","0.7157297121662504,-0.698110686721445,-0.018991115308076695,-0.003433037588526254"
